Author,BookID,WikipediaLink
"Defoe, Daniel",376,http://en.wikipedia.org/wiki/Daniel_Defoe
"Barker, Nettie Garmer",377,
"Martorell, Joanot",378,https://en.wikipedia.org/wiki/Joanot_Martorell
"Gregory, Eliot",379,
"Stevenson, Robert Louis",380,https://en.wikipedia.org/wiki/Robert_Louis_Stevenson
"Stevenson, Robert Louis",381,https://en.wikipedia.org/wiki/Robert_Louis_Stevenson
"Stevenson, Robert Louis",382,https://en.wikipedia.org/wiki/Robert_Louis_Stevenson
"Goldsmith, Oliver",383,http://en.wikipedia.org/wiki/Oliver_Goldsmith
"Burnett, Frances Hodgson",384,https://en.wikipedia.org/wiki/Frances_Hodgson_Burnett
"Grey, Zane",385,https://en.wikipedia.org/wiki/Zane_Grey
"Stevenson, Robert Louis",386,https://en.wikipedia.org/wiki/Robert_Louis_Stevenson
"Stevenson, Robert Louis",387,https://en.wikipedia.org/wiki/Robert_Louis_Stevenson
"Churchill, Winston",388,https://en.wikipedia.org/wiki/Winston_Churchill_(novelist)
"Machen, Arthur",389,http://en.wikipedia.org/wiki/Arthur_Machen
"Cranmer-Byng, L. (Launcelot)",390,
,391,
"Tasso, Torquato",392,https://en.wikipedia.org/wiki/Torquato_Tasso
