BookId,Author,WikipediaLink,WikidataId,DateOfBirth,DateOfDeath,CountryOfCitizenship,Occupation,LanguagesSpokenWrittenOrSigned,Genre,FieldOfWork,MemberOf,EducatedAt,InfluencedBy
54215,"Travers, Graham",https://en.wikipedia.org/wiki/Margaret_Todd_(doctor),Q4794334,1859-04-23T00:00:00Z,1918-09-03T00:00:00Z,United Kingdom of Great Britain and Ireland,novelist,English,,,,,
26743,"Dorman, Sonya",http://en.wikipedia.org/wiki/Sonya_Dorman,Q3490778,1924-01-01T00:00:00Z,2005-02-14T00:00:00Z,United States of America,science fiction writer,American English,,,,,
40879,"Findlater, Jane Helen",http://en.wikipedia.org/wiki/Jane_Findlater,Q6152225,1866-11-04T00:00:00Z,1946-05-20T00:00:00Z,,novelist,English,,,,,
9982,"Child, Lydia Maria",https://en.wikipedia.org/wiki/Lydia_Maria_Child,Q443132,1802-02-11T00:00:00Z,1880-10-20T00:00:00Z,United States of America,poet,English,,novel,,,"[['Q360155', 'William Lloyd Garrison']]"
18125,"Barron, Clarence W. (Clarence Walker)",http://en.wikipedia.org/wiki/Clarence_Walker_Barron,Q5126794,1855-07-02T00:00:00Z,1928-10-02T00:00:00Z,United States of America,journalist,English,,,,Boston English High School,
3779,"Marshall, Logan",https://en.wikipedia.org/wiki/Logan_Marshall,Q6667088,1884-01-01T00:00:00Z,,United States of America,historian,,,,,University of Pennsylvania,
46121,"Lane, Rose Wilder",https://en.wikipedia.org/wiki/Rose_Wilder_Lane,Q438558,1886-12-05T00:00:00Z,1968-10-30T00:00:00Z,United States of America,novelist,English,,,,,
11081,"Arroyo de la Cuesta, Felipe",https://en.wikipedia.org/wiki/Felipe_Arroyo_de_la_Cuesta,Q24945731,1780-01-01T00:00:00Z,1842-01-01T00:00:00Z,Spain,linguist,Spanish,,,,,
27565,"Bársony, István",http://hu.wikipedia.org/wiki/B%C3%A1rsony_Istv%C3%A1n,Q853438,,,,,,,,,,
34778,"Dawson Scott, C. A. (Catharine Amy)",https://en.wikipedia.org/wiki/Catherine_Amy_Dawson_Scott,Q544961,1865-08-01T00:00:00Z,1934-11-04T00:00:00Z,United Kingdom,poet,English,,,,,
150,Plato,https://en.wikipedia.org/wiki/Plato,Q859,-0426-05-02T00:00:00Z,-0346-01-01T00:00:00Z,Classical Athens,poet,Ancient Greek,Platonic dialogue,epistemology,,,"[['Q43353', 'Aristophanes'], ['Q169243', 'Protagoras'], ['Q6691', 'Homer'], ['Q41155', 'Heraclitus'], ['Q913', 'Socrates'], ['Q125551', 'Parmenides'], ['Q10261', 'Pythagoras'], ['Q242517', 'Orphism'], ['Q44233', 'Hesiod']]"
4754,"Jordan, David Starr",https://en.wikipedia.org/wiki/David_Starr_Jordan,Q290343,1851-01-19T00:00:00Z,1931-09-19T00:00:00Z,United States of America,peace activist,English,,ichthyology,Royal Swedish Academy of Sciences,Cornell University College of Agriculture and Life Sciences,"[['Q122972', 'Louis Agassiz']]"
52113,"Putnam, Mary Lowell",https://en.wikipedia.org/wiki/Mary_Traill_Spence_Lowell_Putnam,Q6780849,1810-12-03T00:00:00Z,1898-06-01T00:00:00Z,United States of America,poet,Italian,,,,,
63927,"Eckstein-Diener, Bertha",https://en.wikipedia.org/wiki/Bertha_Eckstein-Diener,Q827705,1874-03-18T00:00:00Z,1948-02-20T00:00:00Z,Austria,historian,German,,,,,
21581,"Braga, Alberto Leal Barradas Monteiro",http://pt.wikipedia.org/wiki/Alberto_Braga,Q9594173,1851-01-01T00:00:00Z,1911-01-01T00:00:00Z,Portugal,writer,Portuguese,,,,,
47911,"Faulds, Henry",https://en.wikipedia.org/wiki/Henry_Faulds,Q1440128,1843-06-01T00:00:00Z,1930-03-19T00:00:00Z,Scotland,physician,English,,medicine,,University of Glasgow,
8466,"Farmer, John Stephen",https://en.wikipedia.org/wiki/John_Stephen_Farmer,Q27949766,1854-03-07T00:00:00Z,1916-01-18T00:00:00Z,United Kingdom of Great Britain and Ireland,lexicographer,,,,,,
9097,"Robert, Henry M. (Henry Martyn)",https://en.wikipedia.org/wiki/Henry_Martyn_Robert,Q5725557,1837-05-02T00:00:00Z,1923-05-11T00:00:00Z,United States of America,engineer,English,,,,United States Military Academy,
64988,"Boyle, Kay",https://en.wikipedia.org/wiki/Kay_Boyle,Q529639,1903-01-01T00:00:00Z,1992-12-27T00:00:00Z,United States of America,journalist,English,,poetry,American Academy of Arts and Letters,Columbia University,
4557,"Bury, J. B. (John Bagnell)",https://en.wikipedia.org/wiki/J._B._Bury,Q502912,1861-10-16T00:00:00Z,1927-06-01T00:00:00Z,United Kingdom,university teacher,English,,history,Academy of Sciences of the USSR,Trinity College Dublin,
