BookId	Author	WikipediaLink	WikidataId	DateOfBirth	DateOfDeath	CountryOfCitizenship	Occupation	LanguagesSpokenWrittenOrSigned	Genre	FieldOfWork	MemberOf	EducatedAt	InfluencedBy
64941	Pickard-Cambridge, Octavius	https://en.wikipedia.org/wiki/Octavius_Pickard-Cambridge	Q1347464	1828-11-03T00:00:00Z	1917-03-09T00:00:00Z	United Kingdom of Great Britain and Ireland	arachnologist	None	None	None	Royal Society	Durham University	None
9827	Rydberg, Viktor	https://sv.wikipedia.org/wiki/Viktor_Rydberg	Q432129	1828-12-18T00:00:00Z	1895-09-21T00:00:00Z	Sweden	art historian	Swedish	None	None	Royal Swedish Academy of Letters, History and Antiquities	None	None
64567	Connington, J. J.	https://en.wikipedia.org/wiki/Alfred_Walter_Stewart	Q3611305	1880-09-01T00:00:00Z	1947-07-01T00:00:00Z	United Kingdom	university teacher	English	None	None	None	University College London	None
40057	Cook, Edward Tyas, Sir	http://en.wikipedia.org/wiki/Edward_Tyas_Cook	Q3048707	1857-05-12T00:00:00Z	1919-09-30T00:00:00Z	United Kingdom of Great Britain and Ireland	journalist	English	None	None	None	New College	None
18911	Wilson, Edmund B. (Edmund Beecher)	http://en.wikipedia.org/wiki/Edmund_Beecher_Wilson	Q1285960	1856-10-19T00:00:00Z	1939-03-03T00:00:00Z	United States of America	zoologist	English	None	zoology	Bavarian Academy of Sciences and Humanities	Johns Hopkins University	None
51666	Montesquiou-Fézensac, Robert, comte de	https://fr.wikipedia.org/wiki/Robert_de_Montesquiou	Q669685	1855-03-19T00:00:00Z	1921-12-11T00:00:00Z	France	poet	French	None	None	None	None	None
2562	Aristophanes	https://en.wikipedia.org/wiki/Aristophanes	Q43353	-0445-01-01T00:00:00Z	-0385-01-01T00:00:00Z	Classical Athens	poet	Ancient Greek	comedy	literature	None	None	[['Q48305', 'Euripides'], ['Q134929', 'Pindar'], ['Q913', 'Socrates']]
63528	Maclear, G. F. (George Frederick)	https://en.wikipedia.org/wiki/George_Maclear	Q5542035	1833-02-03T00:00:00Z	1902-10-19T00:00:00Z	United Kingdom of Great Britain and Ireland	academic	None	None	None	None	Trinity College	None
25438	Nowlan, Philip Francis	http://en.wikipedia.org/wiki/Philip_Francis_Nowlan	Q705999	1888-11-13T00:00:00Z	1940-02-01T00:00:00Z	United States of America	science fiction writer	English	science fiction	None	None	University of Pennsylvania	None
39602	Riaño, Juan F. (Juan Facundo)	http://es.wikipedia.org/wiki/Juan_Facundo_Ria%C3%B1o_y_Montero#Enlaces_externos	Q5949360	1829-11-24T00:00:00Z	1901-02-27T00:00:00Z	Spain	art historian	Spanish	None	None	Real Academia de la Historia	Facultad de Filosofía y Letras (Universidad de Granada)	None
18017	Schéele, Frans von	http://sv.wikipedia.org/wiki/Frans_Alexander_von_Scheele	Q6096693	1853-07-31T00:00:00Z	1931-05-11T00:00:00Z	Sweden	philosopher	None	None	None	None	Uppsala University	None
3322	Wood, Henry, Mrs.	https://en.wikipedia.org/wiki/Ellen_Wood_%28author%29	Q2493772	1814-01-17T00:00:00Z	1887-02-10T00:00:00Z	United Kingdom of Great Britain and Ireland	writer	English	None	None	None	None	None
44582	Bateson, William	http://en.wikipedia.org/wiki/William_Bateson	Q297302	1861-08-08T00:00:00Z	1926-02-08T00:00:00Z	United Kingdom of Great Britain and Ireland	biologist	English	None	None	National Academy of Sciences	Rugby School	None
63548	Vorländer, Karl	https://de.wikipedia.org/wiki/Karl_Vorl%C3%A4nder	Q90180	1860-01-02T00:00:00Z	1928-12-06T00:00:00Z	Germany	opinion journalist	German	None	None	None	None	None
56997	Cocteau, Jean	https://fr.wikipedia.org/wiki/Jean_Cocteau	Q83158	1889-07-05T00:00:00Z	1963-10-11T00:00:00Z	France	playwright	French	drama	None	Académie Française	Lycée Condorcet	[['Q33977', 'Jules Verne'], ['Q7199', 'Marcel Proust'], ['Q535', 'Victor Hugo']]
55738	Dobzhansky, Theodosius	https://en.wikipedia.org/wiki/Theodosius_Dobzhansky	Q246731	1900-01-25T00:00:00Z	1975-12-18T00:00:00Z	Russian Empire	biologist	Russian	None	zoology	Royal Society	Columbia University	None
58766	Westcott, W. Wynn (William Wynn)	https://en.wikipedia.org/wiki/William_Wynn_Westcott	Q540538	1848-12-17T00:00:00Z	1925-07-30T00:00:00Z	United Kingdom of Great Britain and Ireland	translator	English	None	None	None	None	None
1349	Wallace, Donald Mackenzie	https://en.wikipedia.org/wiki/Donald_Mackenzie_Wallace	Q5294777	1841-11-11T00:00:00Z	1919-10-01T00:00:00Z	United Kingdom of Great Britain and Ireland	journalist	English	None	None	Institut de Droit International	University of Edinburgh	None
34581	Corvin, Otto von	http://en.wikipedia.org/wiki/Otto_von_Corvin	Q75265	1812-10-12T00:00:00Z	1886-03-01T00:00:00Z	Germany	revolutionary	German	None	None	German Democratic Legion	None	None
3331	Pepys, Samuel	https://en.wikipedia.org/wiki/Samuel_Pepys	Q106143	1633-02-23T00:00:00Z	1703-05-26T00:00:00Z	Kingdom of England	diarist	English	None	Navy Board	Royal Society	St Paul's School	None
4097	Thompson, Maurice	https://en.wikipedia.org/wiki/Maurice_Thompson	Q6793496	1844-09-09T00:00:00Z	1901-02-15T00:00:00Z	United States of America	poet	English	None	None	American Academy of Arts and Letters	None	None
38174	Vidyāpati Thākura, active 15th century	http://en.wikipedia.org/wiki/Vidyapati	Q2429461	1352-01-01T00:00:00Z	1448-01-01T00:00:00Z	None	poet	Maithili	None	None	None	None	None
23614	Clay, John Cecil	https://en.wikipedia.org/wiki/John_Cecil_Clay	Q6225600	1875-01-01T00:00:00Z	1930-01-01T00:00:00Z	United States of America	illustrator	None	None	None	None	Art Students League of New York	None
62655	American National Insurance Company	https://en.wikipedia.org/wiki/American_National_Insurance_Company	Q4744566	None	None	None	None	None	None	None	None	None	None
20169	Kárpáti, Aurél	http://hu.wikipedia.org/wiki/K%C3%A1rp%C3%A1ti_Aur%C3%A9l_%28%C3%ADr%C3%B3%29	Q1123599	1884-12-05T00:00:00Z	1963-02-07T00:00:00Z	Hungary	poet	None	None	Hungarian literature	the János Vajda society	None	None
2805	Henty, G. A. (George Alfred)	https://en.wikipedia.org/wiki/G._A._Henty	Q639274	1832-12-08T00:00:00Z	1902-11-16T00:00:00Z	United Kingdom of Great Britain and Ireland	war correspondent	English	None	None	None	Gonville and Caius College	None
61383	Pius II, Pope	https://en.wikipedia.org/wiki/Pope_Pius_II	Q101437	1405-10-27T00:00:00Z	1464-08-23T00:00:00Z	Holy Roman Empire	diplomat	Latin	None	None	None	University of Siena	None
5196	Herr, Charlotte B. (Charlotte Bronte)	https://en.wikipedia.org/wiki/Charlotte_B._Herr	Q56266844	1875-06-22T00:00:00Z	1963-03-23T00:00:00Z	None	children's writer	None	None	None	None	None	None
41432	Treves, Frederick	https://en.wikipedia.org/wiki/Sir_Frederick_Treves,_1st_Baronet	Q1348700	1853-02-15T00:00:00Z	1923-12-07T00:00:00Z	United Kingdom of Great Britain and Ireland	physician	English	None	surgery	None	Barts and The London School of Medicine and Dentistry	None
7817	De Gubernatis, Angelo	https://en.wikipedia.org/wiki/Angelo_de_Gubernatis	Q535810	1840-04-07T00:00:00Z	1913-02-26T00:00:00Z	Kingdom of Italy	poet	Italian	None	Oriental studies	Romanian Academy	University of Turin	None
64547	Crawfurd, Raymond Henry Payne, Sir	https://en.wikipedia.org/wiki/Raymond_Crawfurd	Q18922200	1865-01-01T00:00:00Z	1938-01-01T00:00:00Z	None	physician	None	None	None	None	Winchester College	None
475	Booth, William	https://en.wikipedia.org/wiki/William_Booth	Q309882	1829-04-10T00:00:00Z	1912-08-20T00:00:00Z	United Kingdom of Great Britain and Ireland	theologian	English	None	None	The Salvation Army	None	[['Q18219674', 'James Caughey'], ['Q532375', 'Charles Grandison Finney']]
8193	Dillon, Emile Joseph	https://en.wikipedia.org/wiki/E._J._Dillon	Q5321940	1854-03-21T00:00:00Z	1933-06-09T00:00:00Z	None	linguist	English	None	None	None	None	None
55813	Browne, Martha Griffith	https://en.wikipedia.org/wiki/Mattie_Griffith_Browne	Q6791804	1828-10-02T00:00:00Z	1906-05-25T00:00:00Z	United States of America	poet	None	None	None	None	None	None
37944	Calvert, Albert Frederick	https://en.wikipedia.org/wiki/Albert_Frederick_Calvert	Q15627143	1872-07-20T00:00:00Z	1946-06-27T00:00:00Z	None	writer	None	None	None	None	None	None
