Author,BookID,WikipediaLink
"Sanger, Margaret",1689,https://en.wikipedia.org/wiki/Margaret_Sanger
"Johnston, Mary",1692,http://en.wikipedia.org/wiki/Mary_Johnston
"Williams, Henry Smith",1705,https://en.wikipedia.org/wiki/Henry_Smith_Williams
Homer,1727,https://en.wikipedia.org/wiki/Homer
"Chekhov, Anton Pavlovich",1732,https://en.wikipedia.org/wiki/Anton_Chekhov
"Hecker, J. F. C. (Justus Friedrich Carl)",1739,https://en.wikipedia.org/wiki/Justus_Hecker
"MacGregor, Mary Esther Miller",1759,https://en.wikipedia.org/wiki/Mary_Esther_MacGregor
"Raine, William MacLeod",1803,http://en.wikipedia.org/wiki/William_MacLeod_Raine
"Biggers, Earl Derr",1814,https://en.wikipedia.org/wiki/Earl_Derr_Biggers
"Ogden, Ruth",1816,https://en.wikipedia.org/wiki/Ruth_Ogden
"Burgess, Thornton W. (Thornton Waldo)",1825,https://en.wikipedia.org/wiki/Thornton_Burgess
"Lawson, John",1838,https://en.wikipedia.org/wiki/John_Lawson_%28explorer%29
"Ascham, Roger",1844,https://en.wikipedia.org/wiki/Roger_Ascham
"Lytton, Edward Robert Bulwer Lytton, Earl of",1852,http://en.wikipedia.org/wiki/Robert_Bulwer-Lytton%2C_1st_Earl_of_Lytton
"Beck, L. Adams (Lily Adams)",1853,https://en.wikipedia.org/wiki/L._Adams_Beck
"Daudet, Alphonse",1862,http://en.wikipedia.org/wiki/Alphonse_Daudet
"Roosevelt, Theodore",1864,https://en.wikipedia.org/wiki/Theodore_Roosevelt
"Milne, A. A. (Alan Alexander)",1872,https://en.wikipedia.org/wiki/A._A._Milne
"Peattie, Elia Wilkinson",1875,https://en.wikipedia.org/wiki/Elia_W._Peattie
"Whyte, Alexander",1885,https://en.wikipedia.org/wiki/Alexander_Whyte
"Fabre, Jean-Henri",1887,https://en.wikipedia.org/wiki/Jean_Henri_Fabre
"Punshon, E. R. (Ernest Robertson)",1888,https://en.wikipedia.org/wiki/E._R._Punshon
"Blanchan, Neltje",1889,https://en.wikipedia.org/wiki/Neltje_Blanchan
"Pfeiffer, Ida",1894,https://de.wikipedia.org/wiki/Ida_Pfeiffer
"Weyman, Stanley John",1896,https://en.wikipedia.org/wiki/Stanley_J._Weyman
"Brand, Max",1897,https://en.wikipedia.org/wiki/Max_Brand
"Long, William J. (William Joseph)",1901,https://en.wikipedia.org/wiki/William_J._Long
"Kilner, Dorothy",1904,http://en.wikipedia.org/wiki/Dorothy_Kilner
"Fielding, Sarah",1905,https://en.wikipedia.org/wiki/Sarah_Fielding
"Butler, Samuel",1906,https://en.wikipedia.org/wiki/Samuel_Butler_(novelist)
"Seward, A. C. (Albert Charles)",1909,http://en.wikipedia.org/wiki/Albert_Charles_Seward
"MacGrath, Harold",1913,http://en.wikipedia.org/wiki/Harold_MacGrath
"Reeve, Arthur B. (Arthur Benjamin)",1923,https://en.wikipedia.org/wiki/Arthur_B._Reeve
"Cooper, Susan Fenimore",1927,https://en.wikipedia.org/wiki/Susan_Fenimore_Cooper
"Sheridan, Richard Brinsley",1929,http://en.wikipedia.org/wiki/Richard_Brinsley_Sheridan
"France, Anatole",1930,https://fr.wikipedia.org/wiki/Anatole_France
"Clausewitz, Carl von",1946,https://de.wikipedia.org/wiki/Carl_von_Clausewitz
Gildas,1949,https://en.wikipedia.org/wiki/Gildas
"Chapin, E. H. (Edwin Hubbell)",1959,https://en.wikipedia.org/wiki/Edwin_Hubbell_Chapin
"Sidney, Philip",1962,https://en.wikipedia.org/wiki/Philip_Sidney
